protocol,group_family,group_name,n,pos_n,neg_n,pos_rate,pred_pos_rate,proba_mean,signed_residual_mean,abs_residual_mean,brier_mean,error_rate,fn_rate_all,fp_rate_all,fn_given_pos,fp_given_neg,auc
DS-known,Solvent,TEGDME,5,4,1,0.8,0.2,0.26026708539946375,0.5397329146005363,0.873439700485038,0.7634752475184186,1.0,0.8,0.2,1.0,1.0,0.0
DS-known,Solvent,TGBE,6,6,0,1.0,0.16666666666666666,0.498129141607582,0.501870858392418,0.501870858392418,0.26578527781907285,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
DS-known,Solvent,TEG,13,6,7,0.46153846153846156,0.5384615384615384,0.6022795745773564,-0.14074111303889492,0.4955041589966832,0.31782291120736866,0.5384615384615384,0.23076923076923078,0.3076923076923077,0.5,0.5714285714285714,0.6190476190476191
DS-known,Solvent,ethanol,14,2,12,0.14285714285714285,0.7142857142857143,0.5393242531928194,-0.3964671103356765,0.49156477599631393,0.2878634256001756,0.5714285714285714,0.0,0.5714285714285714,0.0,0.6666666666666666,0.6666666666666667
DS-known,Solvent,n-butanol,15,12,3,0.8,0.7333333333333333,0.6923710714822158,0.10762892851778423,0.4027186362908339,0.25425754101025055,0.3333333333333333,0.2,0.13333333333333333,0.25,0.6666666666666666,0.41666666666666663
DS-known,Solvent,sulfolane,40,38,2,0.95,0.65,0.6113027159154644,0.3386972840845356,0.35482888004876595,0.2004785830395642,0.3,0.3,0.0,0.3157894736842105,0.0,0.9473684210526315
DS-known,Solvent,(none),132,68,64,0.5151515151515151,0.6818181818181818,0.6192956519607116,-0.10414413680919642,0.3367070196162789,0.17410789847219096,0.2727272727272727,0.05303030303030303,0.2196969696969697,0.10294117647058823,0.453125,0.8313419117647058
DS-known,Solvent,EGBE,12,2,10,0.16666666666666666,0.25,0.42201538262777144,-0.25534871596110476,0.3207427520425367,0.11770063073989383,0.08333333333333333,0.0,0.08333333333333333,0.0,0.1,1.0
DS-known,Solvent,n-propanol,48,36,12,0.75,0.7708333333333334,0.6591609107262527,0.09083908927374718,0.31867878983220554,0.14570630703572482,0.1875,0.08333333333333333,0.10416666666666667,0.1111111111111111,0.4166666666666667,0.8125
DS-known,Solvent,DGM,21,15,6,0.7142857142857143,0.7619047619047619,0.6818474060048917,0.03243830828082253,0.3075669013955543,0.1519238757579753,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.06666666666666667,0.3333333333333333,0.6666666666666667
DS-known,Solvent,Methanol,6,0,6,0.0,0.0,0.30655540000488835,-0.30655540000488835,0.30655540000488835,0.10393428245776641,0.0,0.0,0.0,,0.0,
DS-known,Solvent,isopropanol,39,28,11,0.717948717948718,0.717948717948718,0.6434263039172999,0.07452241403141811,0.2918184631828982,0.12953478960127165,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.10714285714285714,0.2727272727272727,0.8863636363636364
DS-known,Solvent,DEGEE,15,5,10,0.3333333333333333,0.4666666666666667,0.4943239579626416,-0.16099062462930824,0.28795142789582034,0.12613493858709685,0.13333333333333333,0.0,0.13333333333333333,0.0,0.2,0.92
DS-known,Solvent,Tertiarybutanol,6,5,1,0.8333333333333334,0.6666666666666666,0.6610567215982585,0.1722766117350749,0.2395869446217167,0.07931017530734547,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,1.0
DS-known,Solvent,DEGDEE,23,20,3,0.8695652173913043,0.782608695652174,0.7116348855121497,0.15793033187915453,0.2257886096301829,0.0730816893741103,0.08695652173913043,0.08695652173913043,0.0,0.1,0.0,0.9833333333333334
DS-known,Solvent,isobutanol,5,5,0,1.0,0.8,0.7853694535398423,0.21463054646015758,0.21463054646015758,0.08917394088282485,0.2,0.2,0.0,0.2,,
DS-known,Solvent,DGME,19,10,9,0.5263157894736842,0.5263157894736842,0.5483451411904193,-0.022029351716735163,0.20492916696620606,0.08031020191667888,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.1,0.1111111111111111,0.9777777777777777
DS-known,Solvent,n-pentylalcohol,12,12,0,1.0,0.9166666666666666,0.8588939763024674,0.14110602369753256,0.14110602369753256,0.04849021780743276,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,,
DS-known,Solvent,1-Heptanol,9,9,0,1.0,1.0,0.8774544002786722,0.12254559972132778,0.12254559972132778,0.0156734656556259,0.0,0.0,0.0,0.0,,
DS-known,Solvent,DMSO,18,17,1,0.9444444444444444,1.0,0.9068633392534987,0.037581105190945756,0.10747196626465848,0.03933289537676751,0.05555555555555555,0.0,0.05555555555555555,0.0,1.0,0.9411764705882353
DS-known,Solvent,DMCA,5,5,0,1.0,1.0,0.9062489732146315,0.09375102678536847,0.09375102678536847,0.010962584859573469,0.0,0.0,0.0,0.0,,
DS-known,Solvent,1-Octanol,9,9,0,1.0,1.0,0.9091210807986396,0.09087891920136049,0.09087891920136049,0.009291956677567237,0.0,0.0,0.0,0.0,,
